trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1-100,07:28:00,07:28:00,9567708,0,"",0,,0,1
1-100,07:29:00,07:29:00,9567685,1,"",0,,399.3707915556358,0
1-100,07:30:00,07:30:00,9567359,2,"",0,,786.0446840255836,0
1-100,07:30:00,07:30:00,9567358,3,"",0,,908.1537038606712,0
1-100,07:31:00,07:31:00,9567734,4,"",0,,1062.5938270021052,1
1-100,07:32:00,07:32:00,9567602,5,"",0,,1269.5419368407313,0
1-100,07:32:00,07:32:00,9567601,6,"",0,,1470.6404952815255,0
1-100,07:32:00,07:32:00,9567600,7,"",0,,1658.0988996995088,0
1-100,07:33:00,07:33:00,9567598,8,"",0,,1869.5496888897285,0
1-100,07:33:00,07:33:00,9567595,9,"",0,,2052.025082906567,0
1-100,07:33:00,07:33:00,9567592,10,"",0,,2271.1855675116194,0
1-100,07:33:00,07:33:00,9567736,11,"",0,,2611.976698364966,1
1-100,07:33:00,07:33:00,9567604,12,"",0,,2842.47426332919,0
1-100,07:34:00,07:34:00,9567603,13,"",0,,3226.249716502032,0
1-100,07:34:00,07:34:00,9567737,14,"",0,,3451.3843035185146,1
1-100,07:35:00,07:35:00,9567702,15,"",0,,3690.880936913167,0
1-100,07:38:00,07:38:00,11783049,16,"",0,,4878.193335721049,0
1-1026,06:45:00,06:45:00,11783049,0,"",0,,0,0
1-1026,06:46:00,06:46:00,9567716,1,"",0,,398.5119646132854,0
1-1026,06:47:00,06:47:00,9567703,2,"",0,,1185.1114170110752,0
1-1026,06:48:00,06:48:00,9567705,3,"",0,,1416.4587578954213,1
1-1026,06:48:00,06:48:00,9567606,4,"",0,,1515.5846225563007,0
1-1026,06:48:00,06:48:00,9567628,5,"",0,,1855.5445040856152,0
1-1026,06:48:00,06:48:00,9567629,6,"",0,,1972.2022814487727,0
1-1026,06:49:00,06:49:00,9567630,7,"",0,,2359.0396161717745,0
1-1026,06:49:00,06:49:00,9567631,8,"",0,,2613.0517298712707,0
1-1026,06:50:00,06:50:00,9567735,9,"",0,,2820.574770163027,1
1-1026,06:50:00,06:50:00,9567626,10,"",0,,3149.624684281678,0
1-1026,06:51:00,06:51:00,9567627,11,"",0,,3330.7274365132157,0
1-1026,06:51:00,06:51:00,9567332,12,"",0,,3849.524352351595,0
1-1026,06:52:00,06:52:00,9567333,13,"",0,,4126.965049934394,1
1-1026,06:54:00,06:54:00,9567186,14,"",0,,4519.173885036654,0
1-1026,06:57:00,06:57:00,9567708,15,"",0,,4881.591580359597,1
1-1056,19:45:00,19:45:00,11783049,0,"",0,,0,0
1-1056,19:46:00,19:46:00,9567716,1,"",0,,398.5119646132854,0
1-1056,19:47:00,19:47:00,9567703,2,"",0,,1185.1114170110752,0
1-1056,19:48:00,19:48:00,9567705,3,"",0,,1416.4587578954213,1
1-1056,19:48:00,19:48:00,9567606,4,"",0,,1515.5846225563007,0
1-1056,19:48:00,19:48:00,9567628,5,"",0,,1855.5445040856152,0
