trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1-100,6398,2,To the GTC Downtown,"",1,501326,30053,
1-1026,6398,1,To the Marriott,"",0,501302,30054,
1-1056,6398,1,To the Marriott,"",0,501302,30054,
1-1061,6398,1,To the GTC Downtown,"",1,501302,30053,
1-1080,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1088,6398,2,To the Marriott,"",0,501327,30054,
1-1089,6398,2,To the GTC Downtown,"",1,501326,30053,
1-109,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1091,6398,1,To the Marriott,"",0,501302,30054,
1-1103,6398,2,To the GTC Downtown,"",1,501327,30053,
1-1108,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1124,6398,2,To the Marriott,"",0,501326,30054,
1-1141,6398,2,To the GTC Downtown,"",1,501326,30053,
1-1153,6398,1,To the Marriott,"",0,501301,30054,
1-1166,6398,1,To the Marriott,"",0,501302,30054,
1-1177,6398,1,To the Marriott,"",0,501301,30054,
1-1196,6398,1,To the GTC Downtown,"",1,501302,30053,
1-1201,6398,2,To the Marriott,"",0,501327,30054,
1-1218,6398,1,To the Marriott,"",0,501302,30054,
1-1223,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1231,6398,2,To the Marriott,"",0,501326,30054,
1-1232,6398,2,To the GTC Downtown,"",1,501327,30053,
1-1246,6398,1,To the GTC Downtown,"",1,501302,30053,
1-1257,6398,2,To the GTC Downtown,"",1,501326,30053,
1-1273,6398,1,To the Marriott,"",0,501301,30054,
1-1275,6398,2,To the Marriott,"",0,501326,30054,
1-1279,6398,2,To the GTC Downtown,"",1,501326,30053,
1-1289,6398,1,To the Marriott,"",0,501302,30054,
1-1292,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1294,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1299,6398,2,To the GTC Downtown,"",1,501326,30053,
1-1309,6398,2,To the Marriott,"",0,501327,30054,
1-131,6398,2,To the Marriott,"",0,501327,30054,
1-1311,6398,2,To the GTC Downtown,"",1,501326,30053,
1-1324,6398,1,To the GTC Downtown,"",1,501302,30053,
1-1330,6398,1,To the Marriott,"",0,501301,30054,
1-1341,6398,1,To the GTC Downtown,"",1,501301,30053,
1-1352,6398,1,To the Marriott,"",0,501301,30054,
1-138,6398,1,To the Marriott,"",0,501301,30054,
1-152,6398,2,To the Marriott,"",0,501326,30054,
1-177,6398,2,To the GTC Downtown,"",1,501327,30053,
1-182,6398,2,To the GTC Downtown,"",1,501327,30053,
1-20,6398,1,To the Marriott,"",0,501301,30054,
1-226,6398,2,To the GTC Downtown,"",1,501327,30053,
1-228,6398,2,To the GTC Downtown,"",1,501327,30053,
1-241,6398,2,To the Marriott,"",0,501327,30054,
1-245,6398,1,To the GTC Downtown,"",1,501301,30053,
1-252,6398,2,To the GTC Downtown,"",1,501327,30053,
1-254,6398,1,To the GTC Downtown,"",1,501301,30053,
1-267,6398,2,To the Marriott,"",0,501326,30054,
1-28,6398,1,To the Marriott,"",0,501302,30054,
1-3,6398,1,To the GTC Downtown,"",1,501301,30053,
1-305,6398,1,To the GTC Downtown,"",1,501301,30053,
1-315,6398,2,To the Marriott,"",0,501327,30054,
1-325,6398,2,To the Marriott,"",0,501326,30054,
1-326,6398,2,To the Marriott,"",0,501327,30054,
1-328,6398,1,To the Marriott,"",0,501301,30054,
1-334,6398,2,To the GTC Downtown,"",1,501326,30053,
1-350,6398,2,To the GTC Downtown,"",1,501326,30053,
1-359,6398,2,To the GTC Downtown,"",1,501327,30053,
1-372,6398,1,To the Marriott,"",0,501302,30054,
1-395,6398,1,To the Marriott,"",0,501302,30054,
1-399,6398,2,To the GTC Downtown,"",1,501327,30053,
1-405,6398,1,To the GTC Downtown,"",1,501302,30053,
1-416,6398,1,To the GTC Downtown,"",1,501302,30053,
1-419,6398,1,To the Marriott,"",0,501302,30054,
1-421,6398,2,To the Marriott,"",0,501327,30054,
1-44,6398,1,To the GTC Downtown,"",1,501301,30053,
1-442,6398,2,To the Marriott,"",0,501327,30054,
1-445,6398,2,To the Marriott,"",0,501327,30054,
1-476,6398,1,To the Marriott,"",0,501301,30054,
1-492,6398,2,To the GTC Downtown,"",1,501327,30053,
1-495,6398,2,To the Marriott,"",0,501326,30054,
1-501,6398,1,To the Marriott,"",0,501301,30054,
1-505,6398,2,To the Marriott,"",0,501327,30054,
1-508,6398,2,To the GTC Downtown,"",1,501326,30053,
1-512,6398,2,To the GTC Downtown,"",1,501326,30053,
1-514,6398,1,To the Marriott,"",0,501302,30054,
1-515,6398,2,To the Marriott,"",0,501327,30054,
1-516,6398,2,To the Marriott,"",0,501326,30054,
1-537,6398,1,To the GTC Downtown,"",1,501302,30053,
1-552,6398,2,To the Marriott,"",0,501326,30054,
1-556,6398,1,To the GTC Downtown,"",1,501302,30053,
1-557,6398,2,To the Marriott,"",0,501327,30054,
1-567,6398,1,To the GTC Downtown,"",1,501301,30053,
1-573,6398,1,To the Marriott,"",0,501302,30054,
1-583,6398,1,To the GTC Downtown,"",1,501302,30053,
1-601,6398,2,To the GTC Downtown,"",1,501327,30053,
1-605,6398,1,To the Marriott,"",0,501301,30054,
1-646,6398,1,To the Marriott,"",0,501301,30054,
1-681,6398,1,To the Marriott,"",0,501302,30054,
1-687,6398,1,To the GTC Downtown,"",1,501301,30053,
1-693,6398,1,To the GTC Downtown,"",1,501302,30053,
1-695,6398,2,To the Marriott,"",0,501326,30054,
1-697,6398,1,To the GTC Downtown,"",1,501302,30053,
1-727,6398,1,To the GTC Downtown,"",1,501301,30053,
1-746,6398,2,To the GTC Downtown,"",1,501327,30053,
1-764,6398,1,To the Marriott,"",0,501301,30054,
1-769,6398,2,To the Marriott,"",0,501326,30054,
1-771,6398,2,To the GTC Downtown,"",1,501326,30053,
1-791,6398,1,To the Marriott,"",0,501301,30054,
1-799,6398,2,To the Marriott,"",0,501326,30054,
1-81,6398,1,To the GTC Downtown,"",1,501302,30053,
1-810,6398,2,To the Marriott,"",0,501327,30054,
